Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Date,,,,,
2024-10-25,502.3497009277344,518.2257674022312,500.5269090245172,517.4907648785477,1633200
2024-10-28,513.1102294921875,514.1000425593662,504.68216382838006,505.0938083490668,1687100
2024-10-29,513.7962036132812,516.6969753527097,510.58176379810294,510.75815722971737,1281600
2024-10-30,513.913818359375,520.1759947660407,512.6103970601702,512.9338149374958,1441600
2024-10-31,507.4359436035156,514.5017897155539,504.2411827345497,511.9929833811464,2061700
2024-11-01,508.9647521972656,516.109015409693,506.70094668989174,509.601778346063,1625000
2024-11-04,501.2423400878906,507.6907492992964,500.3015451981428,507.64176109223894,1797800
2024-11-05,516.422607421875,516.9126091163951,502.3497132961169,502.74173857759695,2169900
2024-11-06,584.0624389648438,586.6398528322303,554.7799309946755,555.955947101584,8042800
2024-11-07,570.528564453125,583.1020248634109,569.8915981298859,578.2020078477519,4475600
2024-11-08,577.4767456054688,583.2489793127944,569.6758979193244,574.693509956098,2714000
2024-11-11,590.2952270507812,595.0090406350894,584.2485634899592,586.9240132318922,2510800
2024-11-12,580.7402954101562,590.0503285804277,579.6426364700628,586.091076192947,2392900
2024-11-13,582.3375854492188,591.4810338221682,580.7990327644683,582.7394203351589,1763100
2024-11-14,576.8397827148438,589.5014696171291,574.5171794589422,588.0020357150189,1670500
2024-11-15,581.6712036132812,583.239244961246,575.3502294577399,581.4948101768842,2007700
2024-11-18,576.232177734375,583.1706184116578,573.0275475416483,582.8178315504381,1848900
2024-11-19,569.75439453125,573.0668108843162,564.0017792266203,568.0687575410055,2217400
2024-11-20,570.2933349609375,576.0459497663586,565.0895196318794,572.1553652278782,1528600
2024-11-21,584.1898193359375,588.6880613136524,572.8218036871918,574.7818105104005,2281900
2024-11-22,590.7264404296875,591.8632179826238,582.5531862773131,584.2975611142655,1733700
2024-11-25,590.9714965820312,599.0760842670034,586.8554702167337,596.6162660895296,2940800
2024-11-26,593.3920288085938,595.0482368637507,581.1419869256748,588.1294156008644,2846500
2024-11-27,593.3234252929688,600.0070553659433,591.2164539640636,595.5284328463756,1424500
2024-11-29,596.400634765625,600.477422307152,594.9208201643753,597.1258276607564,1170200
2024-12-02,592.59912109375,602.6446278643302,592.1952955205867,598.7938582837386,1804100
2024-12-03,592.9635620117188,602.1621058010467,591.7029144070648,599.7393926092683,1718100
2024-12-04,589.6445922851562,595.130260767693,587.7241063895343,593.8696131667358,1617300
2024-12-05,587.7634887695312,597.3757164967518,587.3202904615492,591.4370515249508,1672800
2024-12-06,590.599853515625,590.9150154038251,585.3702580337405,588.1179912154141,1405700
2024-12-09,585.1240234375,593.8695701753286,584.7300560629744,589.9202786729893,1633200
2024-12-10,576.1716918945312,587.2414897953353,574.9209025924182,581.0664088924389,2600800
2024-12-11,583.587646484375,584.7202576021816,578.0133748153612,581.1845897676488,2195300
2024-12-12,582.6520385742188,587.2907430789554,579.6974635011088,583.6172406402369,1218400
2024-12-13,576.6148681640625,585.9907392272132,576.2209608765514,585.0058808419574,1215000
